customer_id,age,division,district,occupation,sector,business_vintage_years,has_fd_dps,income,type,loan_amount,term,status,credit_line_type,risk_group,risk_score,txn_amount,txn_count
56,37,Rajshahi,District3,Teacher,Wholesale,26,1,76935.88,Withdrawal,331818.57,24,Closed,Cash Credit,C,0.65,1000.0,18
57,56,Khulna,District1,Freelancer,Pharma,26,0,84871.49,Deposit,357470.69,48,Approved,Cash Credit,B,0.49,35583.96,19
58,60,Dhaka,District1,Teacher,Wholesale,14,0,56295.26,Payment,310524.18,60,Approved,Invoice Finance,C,0.68,15430.19,5
59,24,Khulna,District1,Teacher,Transport,24,0,84657.71,Withdrawal,600103.25,36,Approved,Invoice Finance,D,0.75,9683.61,13
60,22,Rajshahi,District3,Service Holder,IT,22,1,91491.18,Withdrawal,750770.1,60,Approved,Overdraft,C,0.7,27104.69,16
61,26,Khulna,District4,Farmer,IT,6,0,83767.31,Deposit,382223.83,48,Closed,Invoice Finance,C,0.56,26086.24,17
62,62,Rajshahi,District1,Teacher,Wholesale,20,1,92865.06,Deposit,803262.18,24,Approved,Invoice Finance,C,0.5,72920.72,12
63,24,Mymensingh,District5,Teacher,Retail,15,0,81713.27,Withdrawal,551843.51,60,Approved,Cash Credit,C,0.62,36868.18,19
64,49,Sylhet,District1,Service Holder,Pharma,6,0,62028.27,Deposit,157302.64,24,Closed,Lease,B,0.43,32923.64,10
65,38,Dhaka,District4,Freelancer,Pharma,19,1,88670.9,Payment,219689.56,12,Approved,Overdraft,B,0.41,32762.56,18
66,46,Mymensingh,District3,Teacher,Pharma,20,1,102471.0,Payment,394044.47,60,Closed,Cash Credit,B,0.43,37292.51,23
67,64,Chattogram,District1,Service Holder,IT,11,1,86031.96,Withdrawal,678724.02,12,Defaulted,Invoice Finance,C,0.64,34289.93,21
68,54,Khulna,District1,Business Owner,Manufacturing,16,1,84150.95,Payment,336373.68,60,Approved,Invoice Finance,C,0.59,7067.75,13
69,30,Chattogram,District5,Service Holder,IT,10,1,78084.82,Payment,94895.42,36,Closed,Invoice Finance,B,0.42,18544.22,20
70,56,Barisal,District5,Farmer,Manufacturing,3,1,76073.44,Payment,345543.18,24,Approved,Overdraft,C,0.58,15675.51,11
71,34,Khulna,District1,Farmer,IT,18,1,72929.4,Withdrawal,75763.15,12,Defaulted,Invoice Finance,B,0.41,14728.91,17
72,51,Rangpur,District1,Freelancer,Transport,1,1,55293.01,Withdrawal,159798.39,48,Approved,Lease,C,0.56,4952.57,14
73,35,Rangpur,District5,Freelancer,IT,1,1,87381.09,Withdrawal,334315.09,60,Defaulted,Overdraft,C,0.54,17539.43,13
74,28,Sylhet,District4,Farmer,Transport,23,0,100966.2,Deposit,535054.0,12,Approved,Overdraft,B,0.43,54759.7,17
75,34,Mymensingh,District2,Farmer,Manufacturing,16,0,52066.76,Payment,366983.43,60,Closed,Invoice Finance,D,0.8,1000.0,12
76,43,Sylhet,District2,Teacher,Pharma,23,0,62965.08,Deposit,402238.05,60,Approved,Overdraft,C,0.62,28440.89,15
77,60,Barisal,District1,Farmer,Manufacturing,8,0,75137.84,Deposit,198465.36,60,Approved,Overdraft,B,0.33,58173.33,9
78,41,Rajshahi,District5,Freelancer,Wholesale,21,0,79002.8,Deposit,336281.38,12,Closed,Lease,B,0.38,60495.15,18
79,36,Sylhet,District3,Farmer,Pharma,0,0,60146.42,Payment,309919.54,12,Closed,Cash Credit,C,0.61,19353.17,17
80,38,Sylhet,District3,Freelancer,IT,9,1,87449.02,Payment,391385.59,60,Defaulted,Lease,C,0.53,32558.22,12
81,44,Rangpur,District2,Business Owner,IT,27,1,88389.02,Withdrawal,394339.62,48,Approved,Cash Credit,B,0.36,57618.35,17
82,46,Rajshahi,District4,Farmer,IT,22,0,76949.55,Withdrawal,119619.1,24,Defaulted,Lease,B,0.47,12720.91,13
83,45,Rangpur,District2,Freelancer,IT,14,0,67782.88,Deposit,182643.12,60,Closed,Invoice Finance,B,0.38,43936.7,15
84,61,Khulna,District1,Service Holder,IT,20,1,72122.63,Deposit,302490.99,48,Approved,Lease,C,0.52,23466.98,18
85,49,Rajshahi,District4,Teacher,Manufacturing,14,1,83726.36,Payment,5000.0,24,Approved,Overdraft,A,0.16,56250.63,13
86,35,Mymensingh,District3,Freelancer,Transport,24,1,107565.66,Deposit,675650.96,60,Closed,Overdraft,C,0.63,18770.94,23
87,21,Sylhet,District5,Farmer,Manufacturing,22,1,81988.0,Deposit,184853.57,24,Closed,Overdraft,B,0.36,38087.2,22
88,45,Rangpur,District5,Farmer,Retail,20,1,87288.54,Withdrawal,556348.9,60,Closed,Invoice Finance,B,0.49,50757.33,26
89,27,Rajshahi,District1,Business Owner,Manufacturing,28,0,81100.63,Withdrawal,502648.08,12,Closed,Lease,C,0.6,28303.06,16
90,29,Barisal,District2,Service Holder,Pharma,1,0,46730.03,Withdrawal,182836.57,60,Defaulted,Cash Credit,C,0.66,2161.05,4
91,44,Barisal,District1,Freelancer,IT,13,1,88153.52,Payment,617171.31,60,Closed,Lease,C,0.55,46282.29,20
92,21,Sylhet,District5,Service Holder,Manufacturing,3,0,42799.02,Deposit,277611.34,60,Defaulted,Lease,C,0.7,20108.78,8
93,64,Mymensingh,District3,Business Owner,Transport,17,1,101989.68,Payment,446926.64,60,Closed,Cash Credit,C,0.56,19018.54,18
94,28,Chattogram,District5,Teacher,IT,8,0,67393.08,Withdrawal,280118.04,48,Closed,Lease,C,0.54,26936.12,15
95,44,Rangpur,District4,Service Holder,Wholesale,1,1,51948.47,Deposit,373741.48,36,Approved,Overdraft,C,0.74,17447.95,9
96,31,Mymensingh,District5,Business Owner,Retail,1,0,76470.15,Withdrawal,417835.02,48,Closed,Cash Credit,C,0.67,13184.71,14
97,37,Dhaka,District5,Freelancer,Pharma,17,0,69521.52,Deposit,492865.47,48,Approved,Lease,D,0.75,9651.85,15
98,28,Dhaka,District4,Teacher,Transport,16,0,55155.79,Withdrawal,12247.45,12,Approved,Cash Credit,B,0.48,1000.0,10
99,55,Dhaka,District2,Farmer,Retail,8,1,89568.32,Payment,465483.89,60,Approved,Cash Credit,B,0.48,44248.56,20
100,55,Sylhet,District5,Business Owner,Manufacturing,7,0,64420.07,Payment,118866.74,48,Closed,Invoice Finance,B,0.48,14116.94,11
101,53,Barisal,District1,Farmer,Retail,1,1,39420.6,Deposit,195069.8,24,Approved,Cash Credit,C,0.61,17551.04,7
102,25,Khulna,District5,Teacher,IT,1,1,58115.1,Withdrawal,373542.97,60,Approved,Cash Credit,C,0.61,31124.31,9
103,62,Rangpur,District1,Business Owner,IT,4,1,73186.46,Withdrawal,620495.32,12,Approved,Invoice Finance,D,0.8,12221.99,14
104,59,Barisal,District4,Business Owner,Wholesale,11,1,43606.5,Withdrawal,136212.17,12,Closed,Invoice Finance,C,0.52,13742.61,15
105,61,Khulna,District5,Teacher,Retail,28,1,94276.05,Payment,372257.5,24,Approved,Overdraft,C,0.58,8805.47,16
106,48,Khulna,District4,Freelancer,Retail,29,0,81369.69,Deposit,391301.48,12,Approved,Overdraft,B,0.45,41041.02,21
107,27,Barisal,District4,Business Owner,IT,27,0,59247.62,Deposit,180760.8,60,Approved,Cash Credit,C,0.59,2128.25,12
108,29,Rangpur,District2,Teacher,Manufacturing,15,1,84059.67,Withdrawal,584813.17,36,Approved,Invoice Finance,C,0.62,32483.57,19
109,28,Sylhet,District5,Service Holder,Manufacturing,13,1,78111.96,Withdrawal,379609.36,36,Approved,Cash Credit,C,0.58,20776.91,12
110,32,Mymensingh,District1,Farmer,Pharma,19,0,51130.59,Withdrawal,268124.42,48,Approved,Cash Credit,C,0.6,25667.37,7
111,54,Khulna,District1,Business Owner,Manufacturing,1,1,79793.41,Deposit,497938.51,12,Closed,Lease,C,0.63,25500.61,13
112,53,Chattogram,District5,Service Holder,Retail,23,0,85567.81,Deposit,415566.66,60,Approved,Cash Credit,B,0.4,62463.09,17
113,43,Barisal,District2,Business Owner,Wholesale,7,0,52653.94,Payment,177176.39,24,Approved,Invoice Finance,C,0.57,16475.89,15
114,44,Barisal,District2,Freelancer,Manufacturing,28,0,75021.28,Deposit,365650.68,24,Closed,Lease,C,0.57,27340.33,14
115,57,Dhaka,District2,Teacher,IT,3,0,63893.96,Deposit,210060.16,60,Approved,Lease,B,0.48,31955.05,13
116,55,Mymensingh,District1,Business Owner,IT,29,0,75990.05,Payment,396361.2,60,Closed,Invoice Finance,C,0.54,32811.94,12
117,64,Dhaka,District4,Teacher,Pharma,19,0,40036.38,Deposit,280009.45,24,Defaulted,Overdraft,D,0.75,7041.38,10
118,60,Barisal,District2,Business Owner,Pharma,8,0,65304.05,Deposit,173058.57,12,Closed,Invoice Finance,B,0.48,25768.87,13
119,42,Barisal,District1,Freelancer,Retail,19,0,56801.11,Withdrawal,109924.8,48,Closed,Lease,C,0.5,12560.96,13
120,47,Khulna,District1,Freelancer,Manufacturing,25,0,69152.35,Payment,352573.25,48,Approved,Invoice Finance,B,0.46,47769.02,11
121,55,Mymensingh,District4,Service Holder,Manufacturing,26,0,97868.06,Withdrawal,339054.18,48,Approved,Invoice Finance,C,0.62,1000.0,10
122,21,Rajshahi,District5,Freelancer,Pharma,24,0,71990.32,Payment,364522.3,60,Approved,Overdraft,B,0.48,42068.31,16
123,55,Chattogram,District5,Teacher,Manufacturing,18,0,68026.02,Payment,383721.65,24,Closed,Cash Credit,C,0.6,21862.77,19
124,57,Rangpur,District2,Freelancer,Retail,1,0,58645.01,Deposit,41792.05,24,Closed,Invoice Finance,C,0.5,4401.68,15
125,34,Khulna,District2,Business Owner,Wholesale,15,0,72580.01,Withdrawal,463038.61,24,Approved,Cash Credit,C,0.73,4997.66,16
126,23,Barisal,District4,Freelancer,IT,10,1,61212.03,Payment,162864.58,24,Approved,Invoice Finance,B,0.48,22085.67,13
127,21,Rangpur,District2,Teacher,Retail,7,0,56095.52,Payment,277970.36,24,Closed,Invoice Finance,C,0.68,5410.43,7
128,25,Khulna,District4,Business Owner,Manufacturing,11,0,61542.29,Payment,226551.65,36,Approved,Overdraft,C,0.51,26346.34,18
129,46,Chattogram,District1,Service Holder,Retail,2,0,56080.4,Payment,218494.06,60,Closed,Invoice Finance,C,0.6,14271.0,9
130,34,Barisal,District2,Service Holder,IT,12,0,66338.33,Deposit,556440.33,60,Closed,Overdraft,C,0.73,26626.82,20
131,59,Chattogram,District1,Service Holder,Transport,1,1,104811.62,Deposit,590983.99,36,Approved,Invoice Finance,C,0.71,3782.75,14
132,47,Rangpur,District3,Business Owner,IT,12,0,44362.1,Payment,302078.25,48,Approved,Lease,D,0.78,1000.0,10
133,29,Rajshahi,District4,Service Holder,IT,26,0,90701.37,Withdrawal,480888.03,12,Approved,Lease,C,0.68,5446.72,13
134,35,Khulna,District3,Freelancer,Transport,7,0,74750.64,Withdrawal,466446.02,60,Approved,Overdraft,C,0.53,50028.01,16
135,35,Sylhet,District2,Business Owner,Manufacturing,14,0,71391.76,Payment,416553.55,60,Closed,Invoice Finance,C,0.54,40859.46,16
136,46,Khulna,District1,Business Owner,Manufacturing,23,0,63245.27,Payment,348412.65,36,Approved,Lease,C,0.57,29976.9,12
137,62,Dhaka,District2,Business Owner,Wholesale,20,1,109970.02,Deposit,793358.01,60,Approved,Invoice Finance,C,0.52,55701.02,19
138,33,Mymensingh,District3,Farmer,IT,8,0,25120.26,Withdrawal,133464.22,60,Approved,Overdraft,C,0.68,10558.35,8
139,52,Mymensingh,District2,Teacher,Retail,10,0,49751.0,Withdrawal,476131.85,48,Approved,Invoice Finance,C,0.74,39153.4,5
140,59,Dhaka,District5,Farmer,Wholesale,21,1,103575.23,Withdrawal,716850.71,36,Closed,Cash Credit,C,0.63,27349.39,17
141,52,Barisal,District3,Farmer,Manufacturing,20,1,79448.33,Deposit,216172.44,60,Closed,Overdraft,B,0.36,37721.43,18
142,24,Mymensingh,District2,Farmer,Manufacturing,27,1,115946.97,Payment,538794.04,24,Approved,Overdraft,C,0.5,29806.82,19
143,50,Chattogram,District1,Teacher,Pharma,2,0,29322.93,Deposit,169901.61,36,Closed,Cash Credit,C,0.7,12461.6,4
144,57,Rangpur,District2,Farmer,Wholesale,6,0,39318.47,Payment,200091.45,48,Approved,Invoice Finance,C,0.59,24327.61,7
145,43,Rangpur,District1,Service Holder,Manufacturing,13,0,55025.43,Withdrawal,350718.16,12,Defaulted,Lease,C,0.72,11969.38,9
146,59,Mymensingh,District5,Business Owner,Transport,14,1,85260.99,Payment,562213.82,60,Closed,Overdraft,C,0.75,1000.0,13
147,35,Mymensingh,District2,Business Owner,Pharma,8,0,54669.7,Withdrawal,124692.07,24,Defaulted,Overdraft,C,0.51,12523.92,16
148,63,Dhaka,District5,Freelancer,Retail,19,0,61644.01,Payment,466161.56,24,Closed,Lease,D,0.81,1000.0,12
149,49,Barisal,District3,Service Holder,Pharma,10,1,96305.95,Payment,385836.79,12,Closed,Invoice Finance,B,0.46,35813.66,19
150,56,Rajshahi,District1,Teacher,IT,6,1,93701.67,Payment,356833.86,36,Approved,Lease,B,0.48,28706.13,17
151,33,Mymensingh,District3,Business Owner,IT,11,0,54784.3,Deposit,208276.5,48,Approved,Invoice Finance,C,0.65,1183.27,12
152,52,Sylhet,District1,Farmer,Retail,18,1,57353.48,Withdrawal,379516.74,60,Closed,Cash Credit,D,0.76,1000.0,14
153,27,Mymensingh,District5,Freelancer,Transport,26,1,58637.74,Deposit,261868.21,60,Approved,Lease,C,0.56,19804.67,11
154,42,Rajshahi,District4,Freelancer,Retail,17,0,70589.35,Payment,259267.39,60,Approved,Overdraft,B,0.29,71255.87,14
155,48,Dhaka,District2,Business Owner,Wholesale,12,1,86839.33,Withdrawal,360563.99,24,Defaulted,Lease,C,0.52,24516.34,19
156,22,Rajshahi,District5,Service Holder,Retail,10,0,60944.97,Withdrawal,85969.99,36,Approved,Overdraft,B,0.46,13026.09,13
157,62,Dhaka,District1,Freelancer,Retail,0,1,63936.38,Deposit,211992.1,12,Approved,Cash Credit,C,0.62,2936.17,11
158,26,Chattogram,District1,Business Owner,Pharma,5,1,57931.86,Withdrawal,146036.54,36,Approved,Invoice Finance,B,0.44,27596.4,10
159,48,Dhaka,District1,Service Holder,Transport,20,0,79824.7,Withdrawal,356150.78,48,Approved,Overdraft,C,0.63,11890.6,17
160,48,Chattogram,District1,Business Owner,Retail,1,0,76172.78,Payment,482050.8,48,Closed,Lease,C,0.73,6301.73,20
161,64,Chattogram,District2,Business Owner,Wholesale,12,1,43746.83,Payment,267194.78,12,Approved,Cash Credit,C,0.62,25175.48,13
162,64,Dhaka,District3,Service Holder,Pharma,12,0,60837.48,Payment,457102.47,24,Closed,Overdraft,D,0.77,12519.64,6
163,40,Sylhet,District4,Service Holder,Transport,18,0,53444.77,Deposit,377745.05,12,Closed,Lease,C,0.7,19203.44,17
164,50,Khulna,District2,Service Holder,Transport,8,0,35643.01,Deposit,140533.49,48,Closed,Cash Credit,C,0.59,16495.97,12
165,31,Dhaka,District1,Business Owner,Manufacturing,18,1,66050.36,Payment,332771.15,24,Defaulted,Lease,C,0.66,1521.05,18
166,48,Mymensingh,District2,Freelancer,IT,22,1,92695.09,Payment,457439.87,36,Approved,Invoice Finance,C,0.6,15764.51,21
167,45,Sylhet,District5,Teacher,Wholesale,0,0,56074.43,Payment,39134.04,48,Approved,Overdraft,B,0.32,39808.53,11
168,59,Sylhet,District1,Teacher,IT,22,1,108904.32,Deposit,279391.96,24,Closed,Lease,B,0.45,19724.52,26
169,53,Mymensingh,District4,Business Owner,Pharma,24,0,74131.72,Payment,345856.1,24,Approved,Cash Credit,C,0.59,16146.81,9
170,21,Khulna,District1,Business Owner,Pharma,27,1,65626.68,Withdrawal,305440.16,60,Closed,Invoice Finance,C,0.57,16700.64,12
171,47,Sylhet,District4,Freelancer,Wholesale,26,0,72427.46,Deposit,436350.1,36,Defaulted,Lease,C,0.56,40134.37,14
172,33,Chattogram,District4,Service Holder,Transport,7,0,36204.31,Payment,214593.2,24,Defaulted,Overdraft,C,0.64,24258.12,7
173,61,Rangpur,District3,Business Owner,Retail,22,0,53898.06,Payment,78616.52,12,Defaulted,Cash Credit,B,0.44,20473.14,6
174,23,Khulna,District3,Farmer,Wholesale,25,0,83708.39,Payment,505363.75,36,Approved,Cash Credit,C,0.59,28874.11,11
175,59,Barisal,District2,Service Holder,Pharma,13,0,65912.71,Deposit,353105.88,36,Approved,Invoice Finance,C,0.65,16446.1,11
176,26,Mymensingh,District2,Business Owner,IT,23,1,96813.48,Deposit,604769.25,48,Approved,Lease,C,0.52,48619.0,14
177,28,Khulna,District4,Farmer,Wholesale,15,0,59637.61,Withdrawal,425438.68,36,Closed,Invoice Finance,C,0.74,14320.3,11
178,47,Dhaka,District1,Freelancer,Transport,28,1,104857.94,Deposit,494324.87,36,Approved,Cash Credit,B,0.49,31844.23,21
179,29,Rangpur,District5,Farmer,Manufacturing,3,1,61798.96,Deposit,462946.92,60,Closed,Overdraft,C,0.61,42344.65,10
180,57,Khulna,District5,Business Owner,Manufacturing,17,1,98750.24,Payment,318094.18,36,Approved,Cash Credit,B,0.41,36379.44,20
181,53,Chattogram,District1,Teacher,Retail,13,0,68169.58,Withdrawal,211906.76,24,Closed,Lease,B,0.46,30286.19,14
182,62,Rangpur,District1,Business Owner,Retail,29,1,90895.05,Withdrawal,532421.79,12,Approved,Cash Credit,C,0.62,22389.68,15
183,64,Dhaka,District3,Teacher,Transport,26,1,94181.4,Withdrawal,401444.91,60,Approved,Overdraft,C,0.54,24554.91,16
184,44,Rajshahi,District5,Freelancer,IT,8,1,72732.09,Payment,401718.62,60,Defaulted,Overdraft,C,0.7,1000.0,15
185,35,Mymensingh,District4,Freelancer,Retail,14,1,102941.6,Deposit,925029.54,60,Approved,Invoice Finance,C,0.6,54646.7,22
186,52,Rangpur,District2,Service Holder,Manufacturing,2,0,55681.56,Withdrawal,322228.64,60,Approved,Cash Credit,C,0.68,14478.13,9
187,52,Mymensingh,District3,Service Holder,Transport,29,0,78975.81,Withdrawal,428391.57,48,Closed,Lease,C,0.58,22637.02,16
188,44,Khulna,District5,Teacher,Transport,26,1,87422.64,Withdrawal,285134.12,60,Approved,Overdraft,B,0.33,51621.06,17
189,61,Sylhet,District1,Teacher,Transport,3,1,80647.76,Withdrawal,129039.67,48,Approved,Overdraft,B,0.31,46225.14,11
190,32,Dhaka,District5,Freelancer,Wholesale,22,0,82618.7,Payment,401106.09,48,Closed,Lease,C,0.58,17643.99,13
191,59,Rajshahi,District4,Farmer,IT,17,0,62892.38,Deposit,448657.92,36,Closed,Cash Credit,C,0.71,16026.52,16
192,22,Dhaka,District3,Teacher,IT,13,1,60665.38,Withdrawal,264144.59,12,Approved,Overdraft,C,0.66,1000.0,12
193,23,Mymensingh,District1,Teacher,Retail,14,0,50470.48,Deposit,292876.41,36,Closed,Invoice Finance,C,0.64,22377.61,10
194,57,Dhaka,District4,Farmer,IT,7,0,54237.56,Deposit,425927.26,48,Approved,Overdraft,C,0.73,24313.81,16
195,37,Rajshahi,District2,Service Holder,Pharma,27,0,97233.91,Payment,758719.37,36,Approved,Lease,C,0.72,18916.17,21
196,22,Sylhet,District3,Service Holder,Manufacturing,9,0,55247.35,Payment,323618.63,24,Approved,Cash Credit,C,0.63,22270.4,18
197,22,Khulna,District4,Teacher,Retail,23,0,64088.15,Withdrawal,342244.37,60,Approved,Overdraft,C,0.55,31719.59,12
198,48,Chattogram,District4,Service Holder,IT,11,1,49589.21,Withdrawal,97330.42,60,Approved,Overdraft,C,0.51,6854.35,13
199,43,Dhaka,District1,Service Holder,Manufacturing,20,1,107703.12,Withdrawal,402767.74,48,Defaulted,Cash Credit,B,0.44,31570.35,23
200,57,Rangpur,District2,Service Holder,Retail,8,1,81535.42,Payment,361894.01,36,Approved,Cash Credit,C,0.52,30729.8,11
201,52,Chattogram,District4,Freelancer,Pharma,7,1,83940.15,Payment,276611.06,24,Defaulted,Invoice Finance,B,0.43,36658.13,22
202,53,Mymensingh,District3,Business Owner,Manufacturing,16,0,80425.32,Deposit,442090.47,24,Approved,Overdraft,C,0.56,36162.98,16
